employee_id,employee_name,job_title,department,salary
1,Vicki Pitkeathley,Senior Quality Engineer,Legal,$259040.59
2,Skell MacShirrie,Recruiting Manager,Engineering,$68798.67
3,Burton Hiddy,Actuary,Research and Development,$257188.22
4,Melisent Bogays,Registered Nurse,Product Management,$447679.70
5,Haleigh Gibbins,Office Assistant I,Training,$289957.34
6,Elbertine Gretton,VP Product Management,Product Management,$228848.18
7,Yard Bartram,Tax Accountant,Training,$279425.87
8,Stevie Bramble,Cost Accountant,Business Development,$253216.66
9,Verne Vairow,Nurse Practicioner,Support,$161414.28
10,Moore Iorizzo,Editor,Business Development,$464025.95
11,Kingsly Behr,Systems Administrator II,Marketing,$227287.65
12,Karine Brabyn,Web Developer I,Accounting,$161451.18
13,Aleen Guiducci,VP Marketing,Business Development,$219359.00
14,Gwyn Dobbings,Account Coordinator,Training,$215158.72
15,Gretel Covely,Product Engineer,Training,$451343.69
16,Micheline Impey,Recruiter,Sales,$137608.96
17,Halie Cosslett,Research Associate,Business Development,$187564.96
18,Elenore Pitkins,Account Coordinator,Marketing,$71275.43
19,Shannen Stratiff,Community Outreach Specialist,Marketing,$433496.76
20,Bren Mathouse,Quality Control Specialist,Sales,$323443.40
21,Graig Boulding,Payment Adjustment Coordinator,Support,$361377.84
22,Tine Duchatel,Dental Hygienist,Marketing,$101548.18
23,Kipp Cowe,Automation Specialist II,Training,$212268.03
24,Kearney Prene,Senior Developer,Research and Development,$330585.92
25,Joellen Arbuckel,Speech Pathologist,Engineering,$311607.94
26,Rita Finicj,Human Resources Assistant I,Human Resources,$115973.31
27,Geoffry Rattrie,Computer Systems Analyst IV,Legal,$192153.31
28,Christen Pechet,Recruiter,Support,$170040.93
29,Lorne Meriet,Research Assistant I,Business Development,$446708.25
30,Leora Poulter,Senior Editor,Research and Development,$263968.73
31,Donalt Spellissy,Graphic Designer,Sales,$261348.94
32,Purcell Lanktree,Executive Secretary,Training,$94053.16
33,Chevalier Beentjes,Design Engineer,Legal,$497951.65
34,Mari Christopherson,Quality Control Specialist,Support,$354077.10
35,Rollin Ayre,Tax Accountant,Human Resources,$278551.56
36,Christean Bolesworth,Research Associate,Engineering,$479481.70
37,Charita Really,Human Resources Assistant II,Support,$493780.25
38,Cherilynn Wellstood,Chemical Engineer,Engineering,$166414.60
39,Klemens Zuenelli,VP Marketing,Human Resources,$135825.08
40,Kendre Lytle,Computer Systems Analyst II,Accounting,$80641.57
41,Ardis Colmer,General Manager,Human Resources,$343221.75
42,Bear Pigot,Account Executive,Product Management,$323181.42
43,Dionisio Raddish,Physical Therapy Assistant,Human Resources,$288393.07
44,Shaughn Cohalan,Structural Analysis Engineer,Sales,$495454.53
45,Cassey Karel,Mechanical Systems Engineer,Human Resources,$251933.28
46,Gearalt Dunbabin,Human Resources Manager,Accounting,$324085.66
47,Glendon Ivanilov,Analyst Programmer,Human Resources,$378775.44
48,Tiffy Spreag,Pharmacist,Human Resources,$369945.33
49,Missie Dory,Community Outreach Specialist,Research and Development,$345715.19
50,Hoebart McCandie,Sales Associate,Services,$223363.71
51,Binni Raiment,Pharmacist,Product Management,$292789.80
52,Con Sneddon,Payment Adjustment Coordinator,Product Management,$445434.96
53,Emmy Vickors,Accountant IV,Marketing,$149848.29
54,Rhodie Kyteley,Staff Accountant II,Support,$239506.18
55,Giovanna Tytherton,Food Chemist,Training,$173049.55
56,Melonie Moy,Programmer Analyst III,Business Development,$181621.02
57,Teresina Vaughten,Nurse Practicioner,Business Development,$126599.66
58,Morey Crass,Product Engineer,Marketing,$296095.95
59,Thaxter Dadswell,VP Marketing,Engineering,$330373.65
60,Morgan Cuniam,Compensation Analyst,Engineering,$379123.21
61,Fleming Gibling,Cost Accountant,Support,$441219.84
62,Goddard Niblett,Associate Professor,Marketing,$223208.29
63,Glenda MacCurtain,Environmental Specialist,Marketing,$333614.02
64,Alverta Iannetti,Librarian,Accounting,$233656.04
65,Anni Leahey,VP Sales,Marketing,$424695.44
66,Merill Venn,Data Coordinator,Accounting,$273797.59
67,Fara Terron,Assistant Professor,Human Resources,$414255.24
68,Zuzana Ca,Quality Engineer,Business Development,$324148.89
69,Roarke Hulbert,Staff Accountant II,Business Development,$233330.76
70,Kata Hamley,Nurse,Research and Development,$157214.81
71,Clemmy Cometson,Clinical Specialist,Support,$327443.78
72,Aline Bailey,Internal Auditor,Human Resources,$345001.32
73,Alejandra Johnsson,Engineer IV,Marketing,$123924.93
74,Eilis Varnals,Quality Engineer,Accounting,$227460.86
75,Meir Huglin,Accountant III,Engineering,$379318.64
76,Clayborn Lacoste,Accountant II,Legal,$74816.37
77,Elora Atkirk,VP Product Management,Sales,$369659.60
78,Lyn Sperwell,Technical Writer,Business Development,$127882.48
79,Sasha Anfosso,Chief Design Engineer,Human Resources,$294577.38
80,Edythe Siely,Budget/Accounting Analyst III,Training,$342742.58
81,Jaquelin Brandoni,Structural Analysis Engineer,Product Management,$477221.87
82,Cchaddie Warwick,Staff Accountant IV,Services,$470842.38
83,Gunilla Fawcitt,Software Test Engineer III,Services,$416445.12
84,Eleni Pleuman,Physical Therapy Assistant,Accounting,$329357.67
85,Corrianne Keeling,Senior Cost Accountant,Sales,$101313.70
86,Hall Wrathall,Human Resources Assistant I,Support,$382517.54
87,Abbye Featherston,VP Sales,Training,$229012.50
88,Blayne York,Senior Editor,Sales,$137956.19
89,Madel Balm,VP Product Management,Product Management,$119461.77
90,Isobel Deehan,Structural Engineer,Training,$315383.30
91,Nina Lacrouts,Payment Adjustment Coordinator,Human Resources,$76435.30
92,Patience Vonasek,Nurse,Human Resources,$209045.00
93,Celestia Kenningley,Software Test Engineer I,Training,$241346.62
94,Loise Raggitt,VP Accounting,Accounting,$406717.09
95,Lauretta Kiendl,Safety Technician I,Support,$147405.08
96,Staffard Dutnall,Community Outreach Specialist,Sales,$144756.78
97,Palmer Enevoldsen,Food Chemist,Human Resources,$481133.95
98,Nicola Guisler,Tax Accountant,Business Development,$175290.65
99,Kaitlynn Birkett,Assistant Manager,Support,$190089.80
100,Viviyan Rentoul,Project Manager,Engineering,$399434.60
101,Germana Bruno,Editor,Business Development,$297662.85
102,Mortimer Chittim,Assistant Manager,Support,$156066.96
